system:index,annual_total_precipitation,year,.geo
00000000000000000000_0,1.41639764360812E7,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,1.9927006116899446E7,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,2.396443863866185E7,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,1.5253467837549644E7,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,1.835583652036747E7,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,1.8179408898370855E7,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,2.021542286515801E7,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,2.045692185084136E7,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_8,2.1694817468082804E7,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_9,1.6133743631049933E7,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_10,1.717088487292379E7,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_11,2.1848275296330675E7,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_12,1.6157481117742764E7,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_13,1.8914454250663992E7,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_14,2.184685249839169E7,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_15,1.790233218378985E7,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_16,2.2063520638977055E7,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_17,1.7701621909259785E7,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_18,2.093273081346406E7,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_19,1.8490951327605058E7,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20,1.414702054642155E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_21,1.4841452625963096E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_22,1.7174667822324153E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_23,1.7840596743923623E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_24,1.395712912211484E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_25,1.4731091091885533E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_26,1.8684312510436215E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_27,1.728963041044491E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_28,2.373636187779922E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_29,2.5026358121735476E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_30,2.3318610060716752E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_31,1.6757141827237101E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_32,1.6243125014717337E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_33,1.772326224147467E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_34,2.2574457134306476E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_35,1.5748574417100022E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_36,1.5255718524602989E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_37,1.4951256185070068E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_38,1.8319699721773192E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_39,2.1055028163544778E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_40,2.6159797411407344E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_41,1.9595368727058694E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_42,2.1793643725800615E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_43,1.863260991816506E7,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
