system:index,ValleyName,annual_total_precipitation,year,.geo
00000000000000000000_0,AVOCA,132194.94140002097,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,AVOCA,211996.8950734738,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,AVOCA,209264.15218895953,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,AVOCA,158916.77506748625,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,AVOCA,222388.76358215284,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,AVOCA,217112.34334467782,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,AVOCA,229438.28253721635,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,AVOCA,240083.7663770549,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_8,AVOCA,187319.6643503188,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_9,AVOCA,194953.55536362785,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_10,AVOCA,196564.9951070255,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_11,AVOCA,270246.35135788575,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_12,AVOCA,188798.16756214885,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_13,AVOCA,197609.54828846775,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_14,AVOCA,228017.6116830591,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_15,AVOCA,168325.48638550736,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_16,AVOCA,170022.7237115545,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_17,AVOCA,198890.81140271193,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_18,AVOCA,216269.67794715933,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_19,AVOCA,210381.61457293754,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20,AVOCA,141091.14866136396,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_21,AVOCA,184882.78088412835,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_22,AVOCA,167666.1289690916,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_23,AVOCA,218692.73334521783,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_24,AVOCA,168534.00809076466,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_25,AVOCA,168362.50429684852,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_26,AVOCA,166228.21501636953,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_27,AVOCA,201036.23536520623,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_28,AVOCA,254013.8232281589,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_29,AVOCA,309186.4523619555,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_30,AVOCA,198710.00486396402,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_31,AVOCA,185323.54357244392,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_32,AVOCA,187700.5586017947,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_33,AVOCA,160654.71755910592,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_34,AVOCA,230665.31775708467,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_35,AVOCA,198154.64961970277,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_36,AVOCA,168672.28053631,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_37,AVOCA,195158.49926454798,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_38,AVOCA,200865.3421391458,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_39,AVOCA,192782.5624190931,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_40,AVOCA,253818.072920013,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_41,AVOCA,255251.06808733408,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_42,AVOCA,210207.2495546358,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_43,AVOCA,183785.88592536582,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,BORDER RIVERS,1358639.7776427374,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_1,BORDER RIVERS,1785012.1261134334,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_2,BORDER RIVERS,1940332.0157763832,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_3,BORDER RIVERS,1260242.0534769471,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_4,BORDER RIVERS,1302593.3943976606,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_5,BORDER RIVERS,1375178.4700292884,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_6,BORDER RIVERS,1652297.8955755462,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_7,BORDER RIVERS,1276854.9082102096,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_8,BORDER RIVERS,1641908.342415006,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_9,BORDER RIVERS,1169567.3383980442,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_10,BORDER RIVERS,1349001.881086998,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_11,BORDER RIVERS,1152574.9107369876,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_12,BORDER RIVERS,1099050.0333104953,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_13,BORDER RIVERS,1391845.49406377,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_14,BORDER RIVERS,1986518.1089475097,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_15,BORDER RIVERS,1407875.938499247,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
