system:index,Wetland,annual_total_precipitation,subwetland,year,.geo
00000000000000000044_0,Banrock Station Wetland Complex,144.0817234955582,Banrock Station Wetland,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_1,Banrock Station Wetland Complex,187.5372464805257,Banrock Station Wetland,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_2,Banrock Station Wetland Complex,256.5831107569676,Banrock Station Wetland,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_3,Banrock Station Wetland Complex,187.56197818611184,Banrock Station Wetland,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_4,Banrock Station Wetland Complex,231.41963993322616,Banrock Station Wetland,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_5,Banrock Station Wetland Complex,270.81688241830057,Banrock Station Wetland,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_6,Banrock Station Wetland Complex,200.857444107065,Banrock Station Wetland,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_7,Banrock Station Wetland Complex,222.040355349522,Banrock Station Wetland,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_8,Banrock Station Wetland Complex,214.98227791365457,Banrock Station Wetland,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_9,Banrock Station Wetland Complex,219.75988416438008,Banrock Station Wetland,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_10,Banrock Station Wetland Complex,227.7449541347868,Banrock Station Wetland,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_11,Banrock Station Wetland Complex,338.9062939733851,Banrock Station Wetland,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_12,Banrock Station Wetland Complex,216.2135199226585,Banrock Station Wetland,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_13,Banrock Station Wetland Complex,233.85075830641915,Banrock Station Wetland,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
