"year","water_area_m2","swc_australia_scaled","swc_australia_scaled_lagged"
1987,1900350784800,-0.304274906650917,NA
1988,2009496358800,0.019772343817632,-0.304274906650917
1989,2017816858800,0.044475454064902,0.019772343817632
1990,2107257818400,0.31002078014151,0.044475454064902
1991,1996946438400,-0.0174876846945562,0.31002078014151
1992,2021320396800,0.0548772671133365,-0.0174876846945562
1993,1988081478000,-0.0438072681449356,0.0548772671133365
1994,2003093424000,0.000762379960834814,-0.0438072681449356
1995,2020818574800,0.053387384992009,0.000762379960834814
1996,1906588580400,-0.285755232063243,0.053387384992009
1997,1968815332800,-0.101007401420041,-0.285755232063243
1998,2014728602400,0.0353065894148164,-0.101007401420041
1999,2071819598400,0.204806639689974,0.0353065894148164
2000,2056407476400,0.159048890887573,0.204806639689974
2001,2016632196000,0.0409582548876603,0.159048890887573
2002,1960450160400,-0.125843141584048,0.0409582548876603
2003,2021912650800,0.056635636905583,-0.125843141584048
2004,1995769494000,-0.0209819683635793,0.056635636905583
2005,2018671927200,0.0470141054625532,-0.0209819683635793
2006,2007185418000,0.0129112867468654,0.0470141054625532
2007,2023889817600,0.0625057371925419,0.0129112867468654
2008,2057874940800,0.16340571257583,0.0625057371925419
2009,2062689872400,0.177700981627914,0.16340571257583
2010,2136338618400,0.396360087692596,0.177700981627914
2011,2094210748800,0.271284742796086,0.396360087692596
2012,2014279174800,0.0339722634066479,0.271284742796086
2013,2091198366000,0.262341142722126,0.0339722634066479
2014,2088042613200,0.252971884945366,0.262341142722126
2015,2126280438000,0.36649789920535,0.252971884945366
2016,2169583941600,0.495063637264823,0.36649789920535
2017,2119845769200,0.347393718835051,0.495063637264823
2018,2102183780400,0.294956238333585,0.347393718835051
2019,2111838624000,0.323620941881563,0.294956238333585
2020,2134077285600,0.38964631406551,0.323620941881563
2021,2156296219200,0.455613114894495,0.38964631406551
2022,2208402406800,0.610313541172691,0.455613114894495
2023,2162613265200,0.47436807959314,0.610313541172691
2024,2146819478400,0.427477188836301,0.47436807959314
2025,0,-5.94631263820555,0.427477188836301
