"year","inundated_area","basin_surface_water","basin_surface_water_lagged"
1987,7204433400,-0.690074491752837,NA
1988,12568515300,0.0261984367095573,-0.690074491752837
1989,15345795600,0.397052336916024,0.0261984367095573
1990,29201457600,2.2472171519844,0.397052336916024
1991,10516900500,-0.24775639251719,2.2472171519844
1992,10988844300,-0.184737114661707,-0.24775639251719
1993,11405491200,-0.129101704770262,-0.184737114661707
1994,8480547000,-0.519673360233445,-0.129101704770262
1995,9976070700,-0.319974108776469,-0.519673360233445
1996,11505577500,-0.115737049170957,-0.319974108776469
1997,9405265500,-0.396194479719269,-0.115737049170957
1998,21122538300,1.16842840608133,-0.396194479719269
1999,12750727500,0.0505294720160047,1.16842840608133
2000,13757545800,0.184971247069911,0.0505294720160047
2001,8517615300,-0.514723581261181,0.184971247069911
2002,5790798000,-0.878839090543938,-0.514723581261181
2003,7879439700,-0.59994001054151,-0.878839090543938
2004,7659528300,-0.629305069729042,-0.59994001054151
2005,7849823400,-0.603894714128572,-0.629305069729042
2006,5801748300,-0.877376882547348,-0.603894714128572
2007,10114289100,-0.301517623588316,-0.877376882547348
2008,6182027100,-0.826597752998979,-0.301517623588316
2009,9537214500,-0.378575155779103,-0.826597752998979
2010,25125844500,1.7029951611873,-0.378575155779103
2011,17458116300,0.67911330500839,1.7029951611873
2012,14454634500,0.278054420268113,0.67911330500839
2013,10052719200,-0.309739133513088,0.278054420268113
2014,7802739900,-0.610181835961529,-0.309739133513088
2015,7300396800,-0.677260372426432,-0.610181835961529
2016,17044304400,0.623856456404794,-0.677260372426432
2017,8294971500,-0.544453501423287,0.623856456404794
2018,5964711300,-0.855616218296301,-0.544453501423287
2019,6881480100,-0.733198871704529,-0.855616218296301
2020,10091953800,-0.304500085645633,-0.733198871704529
2021,16836386400,0.596092891732143,-0.304500085645633
2022,44644916700,4.30940260727102,0.596092891732143
2023,13749365700,0.183878947531733,4.30940260727102
2024,10883362500,-0.198822238489791,0.183878947531733
