wetlands,water_year,flow_3m,wetland_flow_3m_scaled,wetland_flow_3m_scaled_lagged,flow,wetland_flow_annual_scaled,wetland_flow_annual_scaled_lagged
banrock station wetland complex,2009,123377.73120000001,-1.0250819634615793,NA,919817.3376000001,-0.8919004691309138,NA
banrock station wetland complex,2010,796257.0432000001,-0.5220631271675332,-1.0250819634615793,3022388.3808000004,-0.5450157769533414,-0.8919004691309138
banrock station wetland complex,2011,2816338.7232000004,0.9880726695063904,-0.5220631271675332,16624014.9984,1.6989968939239346,-0.5450157769533414
banrock station wetland complex,2012,3561410.4192000004,1.545059770749817,0.9880726695063904,11330105.990400001,0.82560143715911,1.6989968939239346
banrock station wetland complex,2013,1069132.608,-0.31807179230126453,1.545059770749817,3801931.5168000003,-0.4164058155230024,0.82560143715911
banrock station wetland complex,2014,768707.5392,-0.5426580826007272,-0.31807179230126453,2677721.328,-0.6018793606600378,-0.4164058155230024
banrock station wetland complex,2015,672187.248,-0.6148129604403753,-0.5426580826007272,2583967.3056,-0.6173470117084118,-0.6018793606600378
banrock station wetland complex,2016,2230252.8768,0.5499373082805141,-0.6148129604403753,4977973.152000001,-0.22238105620096688,-0.6173470117084118
banrock station wetland complex,2017,614532.0096,-0.6579138113790408,0.5499373082805141,NA,NA,-0.22238105620096688
banrock station wetland complex,2018,535800.096,-0.7167707785230617,-0.6579138113790408,2442379.0464000003,-0.6407064125083962,NA
banrock station wetland complex,2019,502289.76960000006,-0.7418218167834885,-0.7167707785230617,2394448.9056,-0.6486139846169379,-0.6407064125083962
banrock station wetland complex,2020,844873.3728,-0.4857194187132009,-0.7418218167834885,2428534.5696,-0.6429904908935996,-0.6486139846169379
banrock station wetland complex,2021,1482588.6624,-0.008987860555989208,-0.4857194187132009,4165644.8448,-0.35639995449290773,-0.6429904908935996
banrock station wetland complex,2022,4436451.993600001,2.1992073817906483,-0.008987860555989208,13351345.948800001,1.1590680294315405,-0.35639995449290773
banrock station wetland complex,2023,3730198.3488000003,1.6712391708498355,2.1992073817906483,20497014.576,2.337969008861337,1.1590680294315405
banrock station wetland complex,2024,552726.9792000001,-0.7041168880890677,1.6712391708498355,3671072.8416000004,-0.43799503668740664,2.337969008861337
banrock station wetland complex,2025,671271.1488000001,-0.6154978011618774,-0.7041168880890677,NA,NA,NA
