wetlands,wetland_mean_flow_3m,wetland_sd_flow_3m,wetland_mean_flow_annual,wetland_sd_flow_annual
banrock station wetland complex,1494611.5629176472,1337682.1372284752,6325890.71616,6061296.709292898
barmah-millewa,1552031.285082353,961163.8369335049,4780504.473035295,2225969.6896627597
booligal wetlands,2960.2418823529415,3491.531476315125,8167.961223529413,9485.358196801562
coorong and murray mouth,1387747.6975058825,1236567.9456771135,4810025.44512,4467333.247599718
corop wetlands complex,1657.126588235294,3132.6208071998954,6881.7654,9363.187626737941
currawinya lakes,16919.498541176472,39504.05809174988,480961.32988235296,576268.2839587772
cuttaburra channels,35862.63755294118,95583.96487071611,883477.7923764708,1059534.366861618
darling anabranch,189877.5216,490677.2712815739,1435734.0450000002,2011225.8071145758
fivebough,925722.2032941177,704604.312441223,3683530.0638,2097220.26298984
great cumbung swamp,2960.2418823529415,3491.531476315125,8167.961223529413,9485.358196801562
gunbower-koondrook-perricoota,1232403.3385411766,713568.9951403575,3788819.920376471,1768675.3069009765
gwydir wetlands,136953.59548235295,201751.13342958895,666185.8887529413,681293.5346343948
hattah lakes,1683451.9567058824,1090376.520241661,6014667.810070588,4351782.285989376
kerang wetlands,19443.699952941177,18205.487458022744,95098.88922352942,128423.75101850659
lake albacutya,19611.681882352943,31383.770459956937,59867.94240000001,81645.1282682233
lake brewster,18687.354352941176,14041.655236181583,59966.16395294118,32684.160273718157
lake cowal and nerang cowal,18687.354352941176,14041.655236181583,59966.16395294118,32684.160273718157
lake hindmarsh,19611.681882352943,31383.770459956937,59867.94240000001,81645.1282682233
lake mokoan,755.0496,272.633374837814,3914.6868000000004,1216.280382535856
lindsay-walpolla-chowilla,1494611.5629176472,1337682.1372284752,6325890.71616,6061296.709292898
lowbidgee floodplain,487574.2537411765,441063.6548794869,1513001.73888,1269654.3867413793
lower lakes,1387747.6975058825,1236567.9456771135,4810025.44512,4467333.247599718
macquarie marshes,154110.99388235295,137461.6732688807,491141.33364705887,410601.6066007168
menindee lakes,369919.1106,596250.9573529062,1783859.1660000002,2056067.038863287
mulwala,91616168.6106353,60127179.26099202,387375766.6701177,130093213.911714
murray river and euston lakes,1875466.2510000002,1118420.9682911113,6937535.624914287,4582924.523168076
narran lakes,6393.2696470588235,22573.93053390166,116164.54080000002,183374.55269712638
noora evaporation basin,1494611.5629176472,1337682.1372284752,6325890.71616,6061296.709292898
paroo overflow lakes complex,35862.63755294118,95583.96487071611,883477.7923764708,1059534.366861618
pyap lagoon,1494611.5629176472,1337682.1372284752,6325890.71616,6061296.709292898
talywalka system,8672.594400000002,25145.378277312568,372395.07154285716,815733.3578125401
upper darling river,440799.27222857147,722567.7717609206,3015878.4731076923,3469180.4361203006
yantabulla,35862.63755294118,95583.96487071611,883477.7923764708,1059534.366861618
