water_year,year,month,marebone_break,mac_river,marebone_total,baseflow,irrigation,EWA,NSW_AEW ,CEWH,env_flow,FMZ,other
1996/97,1996,July,7735,14814,22549,310,,17303,0,0,17303,0,4936
1996/97,1996,August,13509,66065,79573,310,,50137,0,0,50137,0,29126
1996/97,1996,September,23272,68411,91683,300,,61885,0,0,61885,0,29498
1996/97,1996,October,21629,44727,66356,310,,37548,0,0,37548,0,28498
1996/97,1996,November,7534,10832,18367,300,,12476,0,0,12476,0,5591
1996/97,1996,December,11376,18806,30182,310,,10806,0,0,10806,0,19066
1996/97,1997,January,14055,15539,29593,310,,0,0,0,0,0,29283
1996/97,1997,February,12117,25136,37253,280,,0,0,0,0,0,36973
1996/97,1997,March,6127,5671,11798,310,,0,0,0,0,0,11488
1996/97,1997,April,1143,2706,3848,300,,0,0,0,0,0,3548
1996/97,1997,May,2836,2623,5459,310,,0,0,0,0,0,5149
1996/97,1997,June,3583,1448,5031,300,,0,0,0,0,0,4731
1997/98,1997,July,481,2250,2730,310,,0,0,0,0,0,2420
1997/98,1997,August,2802,2628,5429,310,,0,0,0,0,0,5119
1997/98,1997,September,5701,7067,12768,300,,0,0,0,0,0,12468
1997/98,1997,October,12056,22279,34335,310,,15470,0,0,15470,0,18555
1997/98,1997,November,5901,7501,13403,300,,3255,0,0,3255,0,9848
1997/98,1997,December,9622,7642,17264,310,,0,0,0,0,0,16954
1997/98,1998,January,6857,10982,17840,310,,0,0,0,0,0,17530
1997/98,1998,February,6760,6668,13428,280,,0,0,0,0,0,13148
1997/98,1998,March,2049,1066,3116,310,,0,0,0,0,0,2806
1997/98,1998,April,903,1669,2573,300,,0,0,0,0,0,2273
1997/98,1998,May,1567,2375,3942,310,,0,0,0,0,0,3632
1997/98,1998,June,1219,9607,10827,300,,0,0,0,0,0,10527
1998/99,1998,July,28802,43497,72299,310,,5583,0,0,5583,0,66406
1998/99,1998,August,83074,108602,191677,310,,0,0,0,0,0,191367
1998/99,1998,September,74173,92606,166780,300,,0,0,0,0,0,166480
1998/99,1998,October,61171,82680,143852,310,,0,0,0,0,0,143542
1998/99,1998,November,48491,72688,121179,300,,0,0,0,0,0,120879
1998/99,1998,December,28559,55989,84548,310,,0,0,0,0,0,84238
1998/99,1999,January,19746,31997,51742,310,,3239,0,0,3239,0,48193
1998/99,1999,February,12959,19745,32704,280,,0,0,0,0,0,32424
1998/99,1999,March,5447,18047,23493,310,,0,0,0,0,0,23183
1998/99,1999,April,5372,13630,19002,300,,0,0,0,0,0,18702
1998/99,1999,May,1276,1812,3089,310,,0,0,0,0,0,2779
1998/99,1999,June,1147,1868,3015,300,,0,0,0,0,0,2715
1999/00,1999,July,2504,4754,7258,310,,0,0,0,0,0,6948
1999/00,1999,August,3453,12811,16264,310,,12234,0,0,12234,0,3720
1999/00,1999,September,9628,22968,32596,300,,26458,0,0,26458,0,5838
1999/00,1999,October,19181,57920,77101,310,,71476,0,0,71476,0,5315
1999/00,1999,November,38391,58480,96871,300,,7761,0,0,7761,0,88810
1999/00,1999,December,22532,63483,86015,310,,0,0,0,0,14063,71642
1999/00,2000,January,23239,29596,52835,310,,5302,0,0,5302,23114,24109
1999/00,2000,February,14873,15839,30712,290,,9068,0,0,9068,14583,6771
1999/00,2000,March,13483,39996,53480,310,,0,0,0,0,13271,39899
1999/00,2000,April,21101,52901,74003,300,,0,0,0,0,0,73703
1999/00,2000,May,25108,64375,89484,310,,0,0,0,0,0,89174
1999/00,2000,June,15763,67372,83135,300,,0,0,0,0,0,82835
2000/01,2000,July,22272,72500,94772,310,,0,0,0,0,720,93742
2000/01,2000,August,21137,73244,94381,0,,0,0,0,0,94381,0
2000/01,2000,September,30299,66561,96860,0,,0,0,0,0,96860,0
2000/01,2000,October,23434,64374,87808,0,,0,0,0,0,87808,0
2000/01,2000,November,75692,97935,173627,0,,0,0,0,0,173627,0
2000/01,2000,December,65797,92472,158269,0,,0,0,0,0,158269,0
2000/01,2001,January,39468,65170,104637,0,,14077,0,0,14077,90259,301
2000/01,2001,February,19159,31222,50381,280,,31458,0,0,31458,15095,3548
2000/01,2001,March,2820,10768,13588,310,,0,0,0,0,0,13278
2000/01,2001,April,2057,3613,5669,300,,0,0,0,0,0,5369
2000/01,2001,May,1446,4881,6328,310,,0,0,0,0,0,6018
2000/01,2001,June,858,9069,9927,300,,6830,0,0,6830,0,2797
2001/02,2001,July,68,11518,11586,310,,1717,0,0,1717,0,9559
2001/02,2001,August,5139,32114,37253,310,,29394,0,0,29394,0,7549
2001/02,2001,September,12797,56001,68798,300,,58504,0,0,58504,0,9994
2001/02,2001,October,16308,20988,37296,310,,24305,0,0,24305,0,12681
2001/02,2001,November,5800,4660,10460,300,,0,0,0,0,0,10160
2001/02,2001,December,11727,10541,22268,310,,0,0,0,0,0,21958
2001/02,2002,January,14354,11845,26199,310,,0,0,0,0,0,25889
2001/02,2002,February,13683,28112,41795,280,,0,0,0,0,0,41515
2001/02,2002,March,5108,10830,15938,310,,0,0,0,0,0,15628
2001/02,2002,April,2544,1364,3909,300,,0,0,0,0,0,3609
2001/02,2002,May,2060,2203,4263,310,,0,0,0,0,0,3953
2001/02,2002,June,1975,2699,4674,300,,0,0,0,0,0,4374
2002/03,2002,July,2946,763,3709,310,,0,0,0,0,0,3399
2002/03,2002,August,7217,27631,34848,310,,33756,0,0,33756,0,782
2002/03,2002,September,7576,14152,21729,300,,13598,0,0,13598,0,7831
2002/03,2002,October,4394,4741,9135,310,,0,0,0,0,0,8825
2002/03,2002,November,4896,4122,9018,300,,0,0,0,0,0,8718
2002/03,2002,December,8830,6575,15405,310,,0,0,0,0,0,15095
2002/03,2003,January,8358,6939,15296,310,,0,0,0,0,0,14986
2002/03,2003,February,5686,5264,10950,280,,0,0,0,0,0,10670
2002/03,2003,March,2371,2587,4958,310,,0,0,0,0,0,4648
2002/03,2003,April,1946,1374,3320,300,,0,0,0,0,0,3020
2002/03,2003,May,1980,783,2763,310,,0,0,0,0,0,2453
2002/03,2003,June,779,712,1491,300,,0,0,0,0,0,1191
2003/04,2003,July,1615,968,2584,310,,0,0,0,0,0,2274
2003/04,2003,August,5537,14960,20498,310,,0,0,0,0,0,20188
2003/04,2003,September,7297,31986,39283,300,,28495,0,0,28495,0,10488
2003/04,2003,October,7305,16170,23475,310,,15962,0,0,15962,0,7203
2003/04,2003,November,1388,2570,3957,300,,0,0,0,0,0,3657
2003/04,2003,December,586,5165,5751,310,,0,0,0,0,0,5441
2003/04,2004,January,6258,7058,13316,310,,0,0,0,0,0,13006
2003/04,2004,February,5869,3459,9328,290,,0,0,0,0,0,9038
2003/04,2004,March,2209,2134,4343,310,,0,0,0,0,0,4033
2003/04,2004,April,2172,844,3016,300,,0,0,0,0,0,2716
2003/04,2004,May,2061,1317,3378,310,,0,0,0,0,0,3068
2003/04,2004,June,1869,1751,3620,300,,0,0,0,0,0,3320
2004/05,2004,July,1412,922,2334,310,,0,0,0,0,0,2024
2004/05,2004,August,2515,1870,4384,310,,0,0,0,0,0,4074
2004/05,2004,September,3005,1429,4434,300,,0,0,0,0,0,4134
2004/05,2004,October,3163,1824,4987,310,,0,0,0,0,0,4677
2004/05,2004,November,2243,811,3053,300,,0,0,0,0,0,2753
2004/05,2004,December,2234,5033,7267,310,,0,0,0,0,0,6957
2004/05,2005,January,2830,2276,5106,310,,0,0,0,0,0,4796
2004/05,2005,February,3107,2591,5698,280,,0,0,0,0,0,5418
2004/05,2005,March,4033,1482,5515,310,,0,0,0,0,0,5205
2004/05,2005,April,4292,1764,6056,300,,0,0,0,0,0,5756
2004/05,2005,May,3090,1558,4648,310,,0,0,0,0,0,4338
2004/05,2005,June,1974,2305,4280,300,,0,0,0,0,0,3980
2005/06,2005,July,4383,1921,6304,310,,0,0,0,0,0,5994
2005/06,2005,August,1729,337,2066,310,,0,0,0,0,0,1756
2005/06,2005,September,3903,1061,4963,300,,0,0,0,0,0,4663
2005/06,2005,October,6984,1477,8462,310,,0,0,0,0,0,8152
2005/06,2005,November,17819,54433,72252,300,4117,,,,46376,0,21460
2005/06,2005,December,9711,36409,46120,310,7283,,,,37408,0,1118
2005/06,2006,January,7656,9974,17630,310,8017,,,,0,0,9304
2005/06,2006,February,5697,7045,12742,280,4023,,,,0,0,8439
2005/06,2006,March,2432,3348,5780,310,257,,,,0,0,5213
2005/06,2006,April,2978,866,3844,300,39,,,,0,0,3505
2005/06,2006,May,4145,1062,5207,310,60,,,,0,0,4837
2005/06,2006,June,3059,969,4028,300,0,,,,0,0,3728
2006/07,2006,July,1380,742,2121,310,0,,,,0,0,1811
2006/07,2006,August,1017,297,1314,310,0,,,,0,0,1004
2006/07,2006,September,2102,1114,3216,300,1141,,,,0,0,1775
2006/07,2006,October,5436,2834,8270,310,5980,,,,0,0,1980
2006/07,2006,November,5010,1555,6565,300,4745,,,,0,0,1520
2006/07,2006,December,8417,3979,12396,310,9632,,,,0,0,2454
2006/07,2007,January,5973,3669,9641,310,5118,,,,0,0,4213
2006/07,2007,February,3173,3010,6183,280,4781,,,,0,0,1122
2006/07,2007,March,2837,716,3552,310,310,,,,0,0,2932
2006/07,2007,April,484,370,854,300,0,,,,0,0,554
2006/07,2007,May,163,96,259,0,0,,,,0,0,259
2006/07,2007,June,7109,17045,24154,300,1435,,,,0,0,22419
2007/08,2007,July,6050,1286,7336,310,0,,,,0,0,7026
2007/08,2007,August,724,344,1068,310,0,,,,0,0,758
2007/08,2007,September,177,410,586,300,0,,,,0,0,286
2007/08,2007,October,521,373,895,310,0,,,,0,0,585
2007/08,2007,November,686,625,1311,300,0,,,,0,0,1011
2007/08,2007,December,7983,11731,19714,310,290,,,,0,0,19114
2007/08,2008,January,7941,16722,24664,310,905,,,,12952,0,10497
2007/08,2008,February,5523,1950,7474,290,20,,,,0,0,7164
2007/08,2008,March,8012,985,8997,310,1385,,,,6397,0,906
2007/08,2008,April,4907,707,5613,300,385,,,,1603,0,3326
2007/08,2008,May,657,545,1202,310,0,,,,0,0,892
2007/08,2008,June,1395,1058,2454,300,0,,,,0,0,2154
2008/09,2008,July,1155,999,2154,310,0,,,,0,0,1844
2008/09,2008,August,2632,573,3205,310,130,,,,0,0,2765
2008/09,2008,September,6995,4539,11534,300,2711,,,,0,0,8523
2008/09,2008,October,4542,1043,5585,310,236,,,,0,0,5039
2008/09,2008,November,460,536,995,300,0,,,,0,0,695
2008/09,2008,December,714,1322,2036,310,160,,,,0,0,1566
2008/09,2009,January,463,2866,3329,310,1401,,,,0,0,1618
2008/09,2009,February,3380,2210,5590,280,370,,,,0,0,4940
2008/09,2009,March,4709,77,4786,310,0,,,,0,0,4476
2008/09,2009,April,5515,981,6496,300,0,,,,0,0,6196
2008/09,2009,May,700,468,1167,310,0,,,,0,0,857
2008/09,2009,June,592,2533,3125,300,0,,,,0,0,2825
2009/10,2009,July,467,1738,2204,310,0,,,,0,0,1894
2009/10,2009,August,1743,1793,3537,310,307,,,,1452,0,1468
2009/10,2009,September,1919,7248,9167,300,195,,,,6396,0,2276
2009/10,2009,October,1667,9584,11251,310,380,,,,8000,0,2561
2009/10,2009,November,3087,4073,7161,300,16,,,,153,0,6692
2009/10,2009,December,9423,3039,12462,310,2003,,,,0,0,10149
2009/10,2010,January,14649,18603,33252,310,2147,,,,0,0,30794
2009/10,2010,February,8373,22296,30669,280,1598,,,,0,0,28791
2009/10,2010,March,3108,8518,11626,310,0,,,,0,0,11316
2009/10,2010,April,2147,2200,4347,300,0,,,,0,0,4047
2009/10,2010,May,592,989,1580,310,0,,,,0,0,1270
2009/10,2010,June,1108,962,2070,300,111,,,,0,0,1659
2010/11,2010,July,1014,13478,14492,310,0,,,,0,0,14182
2010/11,2010,August,38496,66857,105353,310,8743,,,,0,0,96300
2010/11,2010,September,36113,78518,114631,300,2746,,,,3917,0,107669
2010/11,2010,October,10654,71834,82488,310,715,,,,55842,24118,1503
2010/11,2010,November,18401,73959,92359,300,660,,,,0,91399,0
2010/11,2010,December,83050,117945,200995,0,280,,,,0,200715,0
2010/11,2011,January,74800,106474,181274,310,720,,,,3850,143709,32684
2010/11,2011,February,37394,69785,107179,280,2408,,,,74875,0,29616
2010/11,2011,March,12913,29864,42777,310,1516,,,,0,0,40951
2010/11,2011,April,3006,10141,13148,300,0,,,,0,0,12848
2010/11,2011,May,1427,8684,10111,310,0,,,,0,0,9801
2010/11,2011,June,1651,2725,4377,300,618,,,,0,0,3459
2011/12,2011,July,1992,7184,9176,310,340,,,,0,0,8526
2011/12,2011,August,7676,15118,22794,310,220,,,,13861,0,8404
2011/12,2011,September,9219,48899,58118,300,1102,,,,43743,0,12973
2011/12,2011,October,9551,59722,69273,310,1512,,,,53519,0,13932
2011/12,2011,November,6888,19738,26625,300,2246,,,,18452,0,5627
2011/12,2011,December,5493,34005,39498,310,3564,,,,15239,0,20385
2011/12,2012,January,10479,29341,39820,310,5522,,,,8670,0,25318
2011/12,2012,February,4029,21165,25194,290,3298,,,,0,0,21606
2011/12,2012,March,58151,90570,148721,310,1612,,,,0,146799,0
2011/12,2012,April,12564,72944,85509,300,0,,,,0,82928,2281
2011/12,2012,May,3278,29288,32566,310,0,,,,0,31229,1027
2011/12,2012,June,16316,53446,69762,300,110,,,,0,69352,0
2012/13,2012,July,43172,82593,125765,310,200,,,,0,124114,1141
2012/13,2012,August,46802,80001,126803,310,1110,,,,0,117121,8262
2012/13,2012,September,8821,26336,35157,300,191,,,,4815,17881,11970
2012/13,2012,October,22346,64836,87181,310,4000,,,,74716,0,8156
2012/13,2012,November,17369,80905,98274,300,1050,,,,95706,0,1217
2012/13,2012,December,23409,78483,101892,310,10984,,,,83247,0,7351
2012/13,2013,January,13274,19018,32292,310,14647,,,,7353,0,9982
2012/13,2013,February,4544,7001,11545,280,5607,,,,0,0,5658
2012/13,2013,March,998,10470,11467,310,0,,,,0,0,11157
2012/13,2013,April,433,1684,2117,300,0,,,,0,0,1817
2012/13,2013,May,1390,557,1948,310,0,,,,0,0,1638
2012/13,2013,June,1906,3203,5109,300,0,,,,0,0,4809
2013/14,2013,July,338,19943,20280,310,0,,,,10269,0,9701
2013/14,2013,August,769,18968,19737,310,0,,,,13249,0,6177
2013/14,2013,September,6634,26815,33448,300,1565,,,,19079,0,12504
2013/14,2013,October,8711,25473,34184,310,5774,,,,21468,0,6632
2013/14,2013,November,4416,2703,7118,300,4466,,,,589,0,1763
2013/14,2013,December,9840,9850,19690,310,2465,,,,0,0,16915
2013/14,2014,January,10731,7509,18240,310,12929,,,,0,0,5001
2013/14,2014,February,7482,9293,16775,280,6597,,,,0,0,9898
2013/14,2014,March,987,2745,3732,310,125,,,,0,0,3297
2013/14,2014,April,2640,10330,12970,300,0,,,,0,0,12670
2013/14,2014,May,1530,901,2431,310,0,,,,0,0,2121
2013/14,2014,June,1384,6229,7613,300,0,,,,0,0,7313
2014/15,2014,July,6777,3035,9812,310,0,,,,0,0,9502
2014/15,2014,August,6731,924,7654,310,30,,,,1313,0,6001
2014/15,2014,September,4621,905,5526,300,105,,,,3986,0,1135
2014/15,2014,October,1675,11855,13529,310,100,,,,12017,0,1103
2014/15,2014,November,1465,14485,15950,300,320,,,,13824,0,1506
2014/15,2014,December,4336,5299,9635,310,2677,,,,2642,0,4005
2014/15,2015,January,4847,3581,8428,310,3474,,,,0,0,4643
2014/15,2015,February,4146,2047,6193,280,3047,,,,0,0,2866
2014/15,2015,March,4581,1502,6083,310,464,,,,0,0,5309
2014/15,2015,April,2987,1261,4247,300,157,,,,0,0,3790
2014/15,2015,May,613,814,1427,310,0,,,,0,0,1117
2014/15,2015,June,2633,1029,3662,300,0,,,,0,0,3362
2015/16,2015,July,3737,9294,13031,310,0,,,,0,0,12721
2015/16,2015,August,6750,24511,31261,310,0,,,,26714,0,4237
2015/16,2015,September,5994,11842,17836,300,0,,,,13699,0,3837
2015/16,2015,October,3475,10006,13481,310,0,,,,12142,0,1029
2015/16,2015,November,1264,4298,5562,300,0,,,,0,0,5262
2015/16,2015,December,4695,4438,9134,310,5168,,,,0,0,3656
