#Station Long Name,LACHLAN RIVER AT BOOLIGAL
#Station Number,412005
#Station Location Latitude,-33.8695
#Station Location Longitude,144.8811
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.MonthlyMean.CalMonth
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,NSW - Water NSW
#Rows,1478
#Timestamp,Value,Quality Code,Interpolation Type
1902-11-01T00:00:00.000+10:00,,-1,603
1902-12-01T00:00:00.000+10:00,,-1,603
1903-01-01T00:00:00.000+10:00,,-1,603
1903-02-01T00:00:00.000+10:00,,-1,603
1903-03-01T00:00:00.000+10:00,,-1,603
1903-04-01T00:00:00.000+10:00,,-1,603
1903-05-01T00:00:00.000+10:00,,-1,603
1903-06-01T00:00:00.000+10:00,,-1,603
1903-07-01T00:00:00.000+10:00,,-1,603
1903-08-01T00:00:00.000+10:00,,-1,603
1903-09-01T00:00:00.000+10:00,,-1,603
1903-10-01T00:00:00.000+10:00,,-1,603
1903-11-01T00:00:00.000+10:00,,-1,603
1903-12-01T00:00:00.000+10:00,,-1,603
1904-01-01T00:00:00.000+10:00,,-1,603
1904-02-01T00:00:00.000+10:00,,-1,603
1904-03-01T00:00:00.000+10:00,,-1,603
1904-04-01T00:00:00.000+10:00,,-1,603
1904-05-01T00:00:00.000+10:00,,-1,603
1904-06-01T00:00:00.000+10:00,,-1,603
1904-07-01T00:00:00.000+10:00,,-1,603
1904-08-01T00:00:00.000+10:00,,-1,603
1904-09-01T00:00:00.000+10:00,,-1,603
1904-10-01T00:00:00.000+10:00,,-1,603
1904-11-01T00:00:00.000+10:00,,-1,603
1904-12-01T00:00:00.000+10:00,,-1,603
1905-01-01T00:00:00.000+10:00,,-1,603
1905-02-01T00:00:00.000+10:00,,-1,603
1905-03-01T00:00:00.000+10:00,,-1,603
1905-04-01T00:00:00.000+10:00,,-1,603
1905-05-01T00:00:00.000+10:00,,-1,603
1905-06-01T00:00:00.000+10:00,,-1,603
1905-07-01T00:00:00.000+10:00,,-1,603
1905-08-01T00:00:00.000+10:00,,-1,603
1905-09-01T00:00:00.000+10:00,,-1,603
1905-10-01T00:00:00.000+10:00,,-1,603
1905-11-01T00:00:00.000+10:00,,-1,603
1905-12-01T00:00:00.000+10:00,,-1,603
1906-01-01T00:00:00.000+10:00,,-1,603
1906-02-01T00:00:00.000+10:00,,-1,603
1906-03-01T00:00:00.000+10:00,,-1,603
1906-04-01T00:00:00.000+10:00,,-1,603
1906-05-01T00:00:00.000+10:00,,-1,603
1906-06-01T00:00:00.000+10:00,,-1,603
1906-07-01T00:00:00.000+10:00,,-1,603
1906-08-01T00:00:00.000+10:00,,-1,603
1906-09-01T00:00:00.000+10:00,,-1,603
1906-10-01T00:00:00.000+10:00,,-1,603
1906-11-01T00:00:00.000+10:00,,-1,603
1906-12-01T00:00:00.000+10:00,,-1,603
1907-01-01T00:00:00.000+10:00,,-1,603
1907-02-01T00:00:00.000+10:00,,-1,603
1907-03-01T00:00:00.000+10:00,,-1,603
1907-04-01T00:00:00.000+10:00,,-1,603
1907-05-01T00:00:00.000+10:00,,-1,603
1907-06-01T00:00:00.000+10:00,,-1,603
1907-07-01T00:00:00.000+10:00,0.645,140,603
1907-08-01T00:00:00.000+10:00,4.019,140,603
1907-09-01T00:00:00.000+10:00,7.037,140,603
1907-10-01T00:00:00.000+10:00,1.414,140,603
1907-11-01T00:00:00.000+10:00,,-1,603
1907-12-01T00:00:00.000+10:00,,-1,603
1908-01-01T00:00:00.000+10:00,,-1,603
1908-02-01T00:00:00.000+10:00,,-1,603
1908-03-01T00:00:00.000+10:00,2.525,140,603
1908-04-01T00:00:00.000+10:00,,-1,603
1908-05-01T00:00:00.000+10:00,,-1,603
1908-06-01T00:00:00.000+10:00,,-1,603
1908-07-01T00:00:00.000+10:00,,-1,603
1908-08-01T00:00:00.000+10:00,,-1,603
1908-09-01T00:00:00.000+10:00,,-1,603
1908-10-01T00:00:00.000+10:00,,-1,603
1908-11-01T00:00:00.000+10:00,,-1,603
1908-12-01T00:00:00.000+10:00,,-1,603
1909-01-01T00:00:00.000+10:00,,-1,603
1909-02-01T00:00:00.000+10:00,,-1,603
1909-03-01T00:00:00.000+10:00,2.506,140,603
1909-04-01T00:00:00.000+10:00,1.520,140,603
1909-05-01T00:00:00.000+10:00,,-1,603
1909-06-01T00:00:00.000+10:00,,-1,603
1909-07-01T00:00:00.000+10:00,9.414,140,603
1909-08-01T00:00:00.000+10:00,8.229,140,603
1909-09-01T00:00:00.000+10:00,33.558,140,603
1909-10-01T00:00:00.000+10:00,5.629,140,603
1909-11-01T00:00:00.000+10:00,2.694,140,603
1909-12-01T00:00:00.000+10:00,,-1,603
1910-01-01T00:00:00.000+10:00,,-1,603
1910-02-01T00:00:00.000+10:00,,-1,603
1910-03-01T00:00:00.000+10:00,0.752,140,603
1910-04-01T00:00:00.000+10:00,0.160,140,603
1910-05-01T00:00:00.000+10:00,0.000,140,603
1910-06-01T00:00:00.000+10:00,0.000,140,603
1910-07-01T00:00:00.000+10:00,0.000,140,603
1910-08-01T00:00:00.000+10:00,10.445,140,603
1910-09-01T00:00:00.000+10:00,2.602,140,603
1910-10-01T00:00:00.000+10:00,2.907,140,603
1910-11-01T00:00:00.000+10:00,1.115,140,603
1910-12-01T00:00:00.000+10:00,0.001,140,603
1911-01-01T00:00:00.000+10:00,0.649,140,603
1911-02-01T00:00:00.000+10:00,4.918,140,603
1911-03-01T00:00:00.000+10:00,2.921,140,603
1911-04-01T00:00:00.000+10:00,2.004,140,603
