#Station Long Name,MURRAY RIVER @ BELOW WAKOOL JUNCTION
#Station Number,414200
#Station Location Latitude,-34.84718
#Station Location Longitude,143.34152
#Parameter Type Name,Water Course Discharge
#Timeseries Name,DMQaQc.Merged.DailyMean.24HR
#Unit Name,cubic meter per second
#DATA_OWNER_NAME,"VIC - Department of Energy, Environment and Climate Action"
#Rows,19032
#Timestamp,Value,Quality Code,Interpolation Type
1974-01-10T00:00:00.000+10:00,,-1,603
1974-01-11T00:00:00.000+10:00,137.290,10,603
1974-01-12T00:00:00.000+10:00,147.282,10,603
1974-01-13T00:00:00.000+10:00,160.087,10,603
1974-01-14T00:00:00.000+10:00,180.745,10,603
1974-01-15T00:00:00.000+10:00,196.381,10,603
1974-01-16T00:00:00.000+10:00,206.956,10,603
1974-01-17T00:00:00.000+10:00,220.697,10,603
1974-01-18T00:00:00.000+10:00,239.146,10,603
1974-01-19T00:00:00.000+10:00,262.454,10,603
1974-01-20T00:00:00.000+10:00,286.491,10,603
1974-01-21T00:00:00.000+10:00,306.470,10,603
1974-01-22T00:00:00.000+10:00,323.475,10,603
1974-01-23T00:00:00.000+10:00,337.888,10,603
1974-01-24T00:00:00.000+10:00,349.615,10,603
1974-01-25T00:00:00.000+10:00,361.743,10,603
1974-01-26T00:00:00.000+10:00,373.193,10,603
1974-01-27T00:00:00.000+10:00,385.279,10,603
1974-01-28T00:00:00.000+10:00,397.412,10,603
1974-01-29T00:00:00.000+10:00,409.280,10,603
1974-01-30T00:00:00.000+10:00,421.831,10,603
1974-01-31T00:00:00.000+10:00,433.888,10,603
1974-02-01T00:00:00.000+10:00,446.145,10,603
1974-02-02T00:00:00.000+10:00,459.887,10,603
1974-02-03T00:00:00.000+10:00,483.678,10,603
1974-02-04T00:00:00.000+10:00,497.963,10,603
1974-02-05T00:00:00.000+10:00,506.882,10,603
1974-02-06T00:00:00.000+10:00,515.452,10,603
1974-02-07T00:00:00.000+10:00,522.149,10,603
1974-02-08T00:00:00.000+10:00,526.940,10,603
1974-02-09T00:00:00.000+10:00,529.467,10,603
1974-02-10T00:00:00.000+10:00,528.943,10,603
1974-02-11T00:00:00.000+10:00,524.826,10,603
1974-02-12T00:00:00.000+10:00,515.557,10,603
1974-02-13T00:00:00.000+10:00,500.423,10,603
1974-02-14T00:00:00.000+10:00,471.965,10,603
1974-02-15T00:00:00.000+10:00,438.079,10,603
1974-02-16T00:00:00.000+10:00,403.192,10,603
1974-02-17T00:00:00.000+10:00,367.451,10,603
1974-02-18T00:00:00.000+10:00,333.294,10,603
1974-02-19T00:00:00.000+10:00,302.240,10,603
1974-02-20T00:00:00.000+10:00,273.632,10,603
1974-02-21T00:00:00.000+10:00,253.793,110,603
1974-02-22T00:00:00.000+10:00,234.003,110,603
1974-02-23T00:00:00.000+10:00,216.469,110,603
1974-02-24T00:00:00.000+10:00,197.757,110,603
1974-02-25T00:00:00.000+10:00,177.550,110,603
1974-02-26T00:00:00.000+10:00,158.370,110,603
1974-02-27T00:00:00.000+10:00,139.784,110,603
1974-02-28T00:00:00.000+10:00,126.119,110,603
1974-03-01T00:00:00.000+10:00,116.089,110,603
1974-03-02T00:00:00.000+10:00,107.989,110,603
1974-03-03T00:00:00.000+10:00,101.654,110,603
1974-03-04T00:00:00.000+10:00,97.451,110,603
1974-03-05T00:00:00.000+10:00,94.216,110,603
1974-03-06T00:00:00.000+10:00,91.447,110,603
1974-03-07T00:00:00.000+10:00,89.751,110,603
1974-03-08T00:00:00.000+10:00,88.873,10,603
1974-03-09T00:00:00.000+10:00,89.457,10,603
1974-03-10T00:00:00.000+10:00,89.594,10,603
1974-03-11T00:00:00.000+10:00,89.106,10,603
1974-03-12T00:00:00.000+10:00,87.423,10,603
1974-03-13T00:00:00.000+10:00,86.093,10,603
1974-03-14T00:00:00.000+10:00,85.310,10,603
1974-03-15T00:00:00.000+10:00,84.633,10,603
1974-03-16T00:00:00.000+10:00,84.655,10,603
1974-03-17T00:00:00.000+10:00,85.347,10,603
1974-03-18T00:00:00.000+10:00,85.702,10,603
1974-03-19T00:00:00.000+10:00,84.346,10,603
1974-03-20T00:00:00.000+10:00,82.188,10,603
1974-03-21T00:00:00.000+10:00,80.903,10,603
1974-03-22T00:00:00.000+10:00,79.730,10,603
1974-03-23T00:00:00.000+10:00,77.947,10,603
1974-03-24T00:00:00.000+10:00,75.785,10,603
1974-03-25T00:00:00.000+10:00,75.487,10,603
1974-03-26T00:00:00.000+10:00,77.546,10,603
1974-03-27T00:00:00.000+10:00,79.255,10,603
1974-03-28T00:00:00.000+10:00,81.629,10,603
1974-03-29T00:00:00.000+10:00,97.193,10,603
