"","water_year","flow","wetlands","river","location"
"1",1987,NA,"lake albacutya","wimmera","lochiel"
"2",1987,NA,"lake hindmarsh","wimmera","lochiel"
"3",1988,3331.795,"lake albacutya","wimmera","lochiel"
"4",1988,3331.795,"lake hindmarsh","wimmera","lochiel"
"5",1989,1521.204,"lake albacutya","wimmera","lochiel"
"6",1989,1521.204,"lake hindmarsh","wimmera","lochiel"
"7",1990,134.204,"lake albacutya","wimmera","lochiel"
"8",1990,134.204,"lake hindmarsh","wimmera","lochiel"
"9",1991,1009.612,"lake albacutya","wimmera","lochiel"
"10",1991,1009.612,"lake hindmarsh","wimmera","lochiel"
"11",1992,3321.815,"lake albacutya","wimmera","lochiel"
"12",1992,3321.815,"lake hindmarsh","wimmera","lochiel"
"13",1993,1947.544,"lake albacutya","wimmera","lochiel"
"14",1993,1947.544,"lake hindmarsh","wimmera","lochiel"
"15",1994,170.509,"lake albacutya","wimmera","lochiel"
"16",1994,170.509,"lake hindmarsh","wimmera","lochiel"
"17",1995,1408.494,"lake albacutya","wimmera","lochiel"
"18",1995,1408.494,"lake hindmarsh","wimmera","lochiel"
"19",1996,2708.468,"lake albacutya","wimmera","lochiel"
"20",1996,2708.468,"lake hindmarsh","wimmera","lochiel"
"21",1997,91.767,"lake albacutya","wimmera","lochiel"
"22",1997,91.767,"lake hindmarsh","wimmera","lochiel"
"23",1998,161.679,"lake albacutya","wimmera","lochiel"
"24",1998,161.679,"lake hindmarsh","wimmera","lochiel"
"25",1999,110.922,"lake albacutya","wimmera","lochiel"
"26",1999,110.922,"lake hindmarsh","wimmera","lochiel"
"27",2000,23.329,"lake albacutya","wimmera","lochiel"
"28",2000,23.329,"lake hindmarsh","wimmera","lochiel"
"29",2001,7.938,"lake albacutya","wimmera","lochiel"
"30",2001,7.938,"lake hindmarsh","wimmera","lochiel"
"31",2002,66.147,"lake albacutya","wimmera","lochiel"
"32",2002,66.147,"lake hindmarsh","wimmera","lochiel"
"33",2003,2.416,"lake albacutya","wimmera","lochiel"
"34",2003,2.416,"lake hindmarsh","wimmera","lochiel"
"35",2004,17.994,"lake albacutya","wimmera","lochiel"
"36",2004,17.994,"lake hindmarsh","wimmera","lochiel"
"37",2005,13.954,"lake albacutya","wimmera","lochiel"
"38",2005,13.954,"lake hindmarsh","wimmera","lochiel"
"39",2006,0,"lake albacutya","wimmera","lochiel"
"40",2006,0,"lake hindmarsh","wimmera","lochiel"
"41",2007,0,"lake albacutya","wimmera","lochiel"
"42",2007,0,"lake hindmarsh","wimmera","lochiel"
"43",2008,0,"lake albacutya","wimmera","lochiel"
"44",2008,0,"lake hindmarsh","wimmera","lochiel"
"45",2009,108.364,"lake albacutya","wimmera","lochiel"
"46",2009,108.364,"lake hindmarsh","wimmera","lochiel"
"47",2010,1393.399,"lake albacutya","wimmera","lochiel"
"48",2010,1393.399,"lake hindmarsh","wimmera","lochiel"
"49",2011,3335.55,"lake albacutya","wimmera","lochiel"
"50",2011,3335.55,"lake hindmarsh","wimmera","lochiel"
"51",2012,377.683,"lake albacutya","wimmera","lochiel"
"52",2012,377.683,"lake hindmarsh","wimmera","lochiel"
"53",2013,180.321,"lake albacutya","wimmera","lochiel"
"54",2013,180.321,"lake hindmarsh","wimmera","lochiel"
"55",2014,159.665,"lake albacutya","wimmera","lochiel"
"56",2014,159.665,"lake hindmarsh","wimmera","lochiel"
"57",2015,67.947,"lake albacutya","wimmera","lochiel"
"58",2015,67.947,"lake hindmarsh","wimmera","lochiel"
"59",2016,1514.578,"lake albacutya","wimmera","lochiel"
"60",2016,1514.578,"lake hindmarsh","wimmera","lochiel"
"61",2017,280.383,"lake albacutya","wimmera","lochiel"
"62",2017,280.383,"lake hindmarsh","wimmera","lochiel"
"63",2018,103.815,"lake albacutya","wimmera","lochiel"
"64",2018,103.815,"lake hindmarsh","wimmera","lochiel"
"65",2019,163.744,"lake albacutya","wimmera","lochiel"
"66",2019,163.744,"lake hindmarsh","wimmera","lochiel"
"67",2020,66.949,"lake albacutya","wimmera","lochiel"
"68",2020,66.949,"lake hindmarsh","wimmera","lochiel"
"69",2021,248.555,"lake albacutya","wimmera","lochiel"
"70",2021,248.555,"lake hindmarsh","wimmera","lochiel"
"71",2022,2092.444,"lake albacutya","wimmera","lochiel"
"72",2022,2092.444,"lake hindmarsh","wimmera","lochiel"
"73",2023,1514.887,"lake albacutya","wimmera","lochiel"
"74",2023,1514.887,"lake hindmarsh","wimmera","lochiel"
"75",2024,106.796,"lake albacutya","wimmera","lochiel"
"76",2024,106.796,"lake hindmarsh","wimmera","lochiel"
"77",2025,64.492,"lake albacutya","wimmera","lochiel"
"78",2025,64.492,"lake hindmarsh","wimmera","lochiel"
"79",2026,10.314,"lake albacutya","wimmera","lochiel"
"80",2026,10.314,"lake hindmarsh","wimmera","lochiel"
"81",1982,NA,"banrock station wetland complex","murray","lock5"
"82",1982,NA,"noora evaporation basin","murray","lock5"
"83",1982,NA,"pyap lagoon","murray","lock5"
"84",1983,9794.346,"banrock station wetland complex","murray","lock5"
"85",1983,9794.346,"noora evaporation basin","murray","lock5"
"86",1983,9794.346,"pyap lagoon","murray","lock5"
"87",1984,40206.44,"banrock station wetland complex","murray","lock5"
"88",1984,40206.44,"noora evaporation basin","murray","lock5"
"89",1984,40206.44,"pyap lagoon","murray","lock5"
"90",1985,NA,"banrock station wetland complex","murray","lock5"
"91",1985,NA,"noora evaporation basin","murray","lock5"
"92",1985,NA,"pyap lagoon","murray","lock5"
"93",1986,13205.775,"banrock station wetland complex","murray","lock5"
"94",1986,13205.775,"noora evaporation basin","murray","lock5"
"95",1986,13205.775,"pyap lagoon","murray","lock5"
"96",1987,14562.713,"banrock station wetland complex","murray","lock5"
"97",1987,14562.713,"noora evaporation basin","murray","lock5"
"98",1987,14562.713,"pyap lagoon","murray","lock5"
"99",1988,NA,"banrock station wetland complex","murray","lock5"
"100",1988,NA,"noora evaporation basin","murray","lock5"
"101",1988,NA,"pyap lagoon","murray","lock5"
"102",1989,20302.988,"banrock station wetland complex","murray","lock5"
"103",1989,20302.988,"noora evaporation basin","murray","lock5"
"104",1989,20302.988,"pyap lagoon","murray","lock5"
"105",1990,25670.758,"banrock station wetland complex","murray","lock5"
"106",1990,25670.758,"noora evaporation basin","murray","lock5"
"107",1990,25670.758,"pyap lagoon","murray","lock5"
"108",1991,23595.418,"banrock station wetland complex","murray","lock5"
"109",1991,23595.418,"noora evaporation basin","murray","lock5"
"110",1991,23595.418,"pyap lagoon","murray","lock5"
"111",1992,15032.073,"banrock station wetland complex","murray","lock5"
"112",1992,15032.073,"noora evaporation basin","murray","lock5"
"113",1992,15032.073,"pyap lagoon","murray","lock5"
"114",1993,17235.142,"banrock station wetland complex","murray","lock5"
"115",1993,17235.142,"noora evaporation basin","murray","lock5"
"116",1993,17235.142,"pyap lagoon","murray","lock5"
"117",1994,30470.966,"banrock station wetland complex","murray","lock5"
"118",1994,30470.966,"noora evaporation basin","murray","lock5"
"119",1994,30470.966,"pyap lagoon","murray","lock5"
"120",1995,44725.896,"banrock station wetland complex","murray","lock5"
"121",1995,44725.896,"noora evaporation basin","murray","lock5"
"122",1995,44725.896,"pyap lagoon","murray","lock5"
"123",1996,74848.783,"banrock station wetland complex","murray","lock5"
"124",1996,74848.783,"noora evaporation basin","murray","lock5"
"125",1996,74848.783,"pyap lagoon","murray","lock5"
"126",1997,53358.387,"banrock station wetland complex","murray","lock5"
"127",1997,53358.387,"noora evaporation basin","murray","lock5"
"128",1997,53358.387,"pyap lagoon","murray","lock5"
"129",1998,30839.01,"banrock station wetland complex","murray","lock5"
"130",1998,30839.01,"noora evaporation basin","murray","lock5"
"131",1998,30839.01,"pyap lagoon","murray","lock5"
"132",1999,45044.718,"banrock station wetland complex","murray","lock5"
"133",1999,45044.718,"noora evaporation basin","murray","lock5"
"134",1999,45044.718,"pyap lagoon","murray","lock5"
"135",2000,43530.326,"banrock station wetland complex","murray","lock5"
"136",2000,43530.326,"noora evaporation basin","murray","lock5"
"137",2000,43530.326,"pyap lagoon","murray","lock5"
"138",2001,39632.128,"banrock station wetland complex","murray","lock5"
"139",2001,39632.128,"noora evaporation basin","murray","lock5"
"140",2001,39632.128,"pyap lagoon","murray","lock5"
"141",2002,17013.232,"banrock station wetland complex","murray","lock5"
"142",2002,17013.232,"noora evaporation basin","murray","lock5"
"143",2002,17013.232,"pyap lagoon","murray","lock5"
"144",2003,19032.471,"banrock station wetland complex","murray","lock5"
"145",2003,19032.471,"noora evaporation basin","murray","lock5"
"146",2003,19032.471,"pyap lagoon","murray","lock5"
"147",2004,17257.956,"banrock station wetland complex","murray","lock5"
"148",2004,17257.956,"noora evaporation basin","murray","lock5"
"149",2004,17257.956,"pyap lagoon","murray","lock5"
"150",2005,20422.301,"banrock station wetland complex","murray","lock5"
"151",2005,20422.301,"noora evaporation basin","murray","lock5"
"152",2005,20422.301,"pyap lagoon","murray","lock5"
"153",2006,20811.007,"banrock station wetland complex","murray","lock5"
"154",2006,20811.007,"noora evaporation basin","murray","lock5"
"155",2006,20811.007,"pyap lagoon","murray","lock5"
"156",2007,8906.209,"banrock station wetland complex","murray","lock5"
"157",2007,8906.209,"noora evaporation basin","murray","lock5"
"158",2007,8906.209,"pyap lagoon","murray","lock5"
"159",2008,7582.998,"banrock station wetland complex","murray","lock5"
"160",2008,7582.998,"noora evaporation basin","murray","lock5"
"161",2008,7582.998,"pyap lagoon","murray","lock5"
"162",2009,8635.877,"banrock station wetland complex","murray","lock5"
"163",2009,8635.877,"noora evaporation basin","murray","lock5"
"164",2009,8635.877,"pyap lagoon","murray","lock5"
"165",2010,34787.302,"banrock station wetland complex","murray","lock5"
"166",2010,34787.302,"noora evaporation basin","murray","lock5"
