system:index,ValleyName,annual_total_precipitation,year,.geo
00000000000000000000_0,AVOCA,78482.087581221,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,AVOCA,25495.839914871198,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,AVOCA,94275.61920974297,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,AVOCA,78738.33963919873,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,AVOCA,68999.25096132001,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,AVOCA,85495.60812780455,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,AVOCA,53463.63829020448,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,AVOCA,65196.57734487784,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_8,AVOCA,63561.49893245419,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_9,AVOCA,61025.979101564604,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_10,AVOCA,72277.14171378147,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_11,AVOCA,81536.98374096926,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_12,AVOCA,82462.99448003247,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_13,AVOCA,32019.641256281684,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_14,AVOCA,59022.88058729545,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_15,AVOCA,91603.54884525276,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_16,AVOCA,70059.81648521658,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_17,AVOCA,48885.196445932335,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_18,AVOCA,54946.9583610231,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_19,AVOCA,63128.54167745418,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_20,AVOCA,67482.05281617993,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_21,AVOCA,34602.050535232636,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_22,AVOCA,70163.22332912426,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_23,AVOCA,61164.34483120022,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_24,AVOCA,62628.79601388025,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_25,AVOCA,48546.18054833877,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_26,AVOCA,37432.853746787936,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_27,AVOCA,54103.16824664276,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_28,AVOCA,68555.1730887894,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
