system:index,Wetland,annual_total_precipitation,subwetland,year,.geo
00000000000000000044_0,Banrock Station Wetland Complex,76.30045781696545,Banrock Station Wetland,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_1,Banrock Station Wetland Complex,28.2161478285696,Banrock Station Wetland,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_2,Banrock Station Wetland Complex,96.80511106650033,Banrock Station Wetland,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_3,Banrock Station Wetland Complex,104.7945551694608,Banrock Station Wetland,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_4,Banrock Station Wetland Complex,74.96163533528645,Banrock Station Wetland,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_5,Banrock Station Wetland Complex,99.65234786201927,Banrock Station Wetland,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_6,Banrock Station Wetland Complex,73.55684690101475,Banrock Station Wetland,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_7,Banrock Station Wetland Complex,55.59169510626325,Banrock Station Wetland,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_8,Banrock Station Wetland Complex,74.21212205325855,Banrock Station Wetland,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_9,Banrock Station Wetland Complex,75.63366680939994,Banrock Station Wetland,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_10,Banrock Station Wetland Complex,66.95132854499069,Banrock Station Wetland,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_11,Banrock Station Wetland Complex,78.42810372885535,Banrock Station Wetland,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_12,Banrock Station Wetland Complex,91.63406732082368,Banrock Station Wetland,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_13,Banrock Station Wetland Complex,44.14214669863383,Banrock Station Wetland,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
