Valley,Scenario,pct_change,X,Wetland
Paroo,S1,0.15,9,currawinya lakes
Paroo,S1,0.15,10,cuttaburra channels
Paroo,S1,0.15,33,paroo overflow lakes complex
Paroo,S1,0.15,39,yantabulla
Paroo,S4,0.22,9,currawinya lakes
Paroo,S4,0.22,10,cuttaburra channels
Paroo,S4,0.22,33,paroo overflow lakes complex
Paroo,S4,0.22,39,yantabulla
Paroo,S2,-0.02,9,currawinya lakes
Paroo,S2,-0.02,10,cuttaburra channels
Paroo,S2,-0.02,33,paroo overflow lakes complex
Paroo,S2,-0.02,39,yantabulla
Paroo,S5,-0.03,9,currawinya lakes
Paroo,S5,-0.03,10,cuttaburra channels
Paroo,S5,-0.03,33,paroo overflow lakes complex
Paroo,S5,-0.03,39,yantabulla
Paroo,S3,-0.15,9,currawinya lakes
Paroo,S3,-0.15,10,cuttaburra channels
Paroo,S3,-0.15,33,paroo overflow lakes complex
Paroo,S3,-0.15,39,yantabulla
Paroo,S6,-0.22,9,currawinya lakes
Paroo,S6,-0.22,10,cuttaburra channels
Paroo,S6,-0.22,33,paroo overflow lakes complex
Paroo,S6,-0.22,39,yantabulla
Warrego,S1,0.16,37,upper darling river
Warrego,S4,0.23,37,upper darling river
Warrego,S2,-0.01,37,upper darling river
Warrego,S5,-0.02,37,upper darling river
Warrego,S3,-0.14,37,upper darling river
Warrego,S6,-0.22,37,upper darling river
Condamine,S1,0.15,31,narran lakes
Condamine,S4,0.23,31,narran lakes
Condamine,S2,-0.02,31,narran lakes
Condamine,S5,-0.03,31,narran lakes
Condamine,S3,-0.15,31,narran lakes
Condamine,S6,-0.23,31,narran lakes
Gwydir,S1,0.12,14,gwydir wetlands
Gwydir,S4,0.18,14,gwydir wetlands
Gwydir,S2,-0.04,14,gwydir wetlands
Gwydir,S5,-0.07,14,gwydir wetlands
Gwydir,S3,-0.16,14,gwydir wetlands
Gwydir,S6,-0.24,14,gwydir wetlands
Macquarie,S1,0.1,27,macquarie marshes
Macquarie,S4,0.16,27,macquarie marshes
Macquarie,S2,-0.07,27,macquarie marshes
Macquarie,S5,-0.1,27,macquarie marshes
Macquarie,S3,-0.18,27,macquarie marshes
Macquarie,S6,-0.27,27,macquarie marshes
Darling,S1,0.13,11,darling anabranch
Darling,S1,0.13,28,menindee lakes
Darling,S1,0.13,36,talywalka system
Darling,S4,0.2,11,darling anabranch
Darling,S4,0.2,28,menindee lakes
Darling,S4,0.2,36,talywalka system
Darling,S2,-0.05,11,darling anabranch
Darling,S2,-0.05,28,menindee lakes
Darling,S2,-0.05,36,talywalka system
Darling,S5,-0.07,11,darling anabranch
Darling,S5,-0.07,28,menindee lakes
Darling,S5,-0.07,36,talywalka system
Darling,S3,-0.17,11,darling anabranch
Darling,S3,-0.17,28,menindee lakes
Darling,S3,-0.17,36,talywalka system
Darling,S6,-0.25,11,darling anabranch
Darling,S6,-0.25,28,menindee lakes
Darling,S6,-0.25,36,talywalka system
Lachlan,S1,0.01,3,booligal wetlands
Lachlan,S1,0.01,12,great cumbung swamp
Lachlan,S1,0.01,19,lake brewster
Lachlan,S1,0.01,21,lake cowal and nerang cowal
Lachlan,S4,0.02,3,booligal wetlands
Lachlan,S4,0.02,12,great cumbung swamp
Lachlan,S4,0.02,19,lake brewster
Lachlan,S4,0.02,21,lake cowal and nerang cowal
Lachlan,S2,-0.1,3,booligal wetlands
Lachlan,S2,-0.1,12,great cumbung swamp
Lachlan,S2,-0.1,19,lake brewster
Lachlan,S2,-0.1,21,lake cowal and nerang cowal
Lachlan,S5,-0.15,3,booligal wetlands
Lachlan,S5,-0.15,12,great cumbung swamp
Lachlan,S5,-0.15,19,lake brewster
Lachlan,S5,-0.15,21,lake cowal and nerang cowal
Lachlan,S3,-0.19,3,booligal wetlands
Lachlan,S3,-0.19,12,great cumbung swamp
