"year","inundated_area","valley_name","valley_surface_water","valley_surface_water_lagged"
1987,142571700,"avoca",-1.10995538230286,NA
1988,198302400,"avoca",0.420792923614411,-1.10995538230286
1989,264227400,"avoca",2.23154681810337,0.420792923614411
1990,209389500,"avoca",0.725320940354473,2.23154681810337
1991,182943000,"avoca",-0.00108183356441014,0.725320940354473
1992,213094800,"avoca",0.827093961291142,-0.00108183356441014
1993,189134100,"avoca",0.168968351284594,0.827093961291142
1994,150715800,"avoca",-0.886262385835547,0.168968351284594
1995,217032300,"avoca",0.935244791166763,-0.886262385835547
1996,161267400,"avoca",-0.59644288195857,0.935244791166763
1997,152135100,"avoca",-0.847278646700952,-0.59644288195857
1998,152199900,"avoca",-0.84549879304357,-0.847278646700952
1999,167049900,"avoca",-0.437615663226944,-0.84549879304357
2000,172040400,"avoca",-0.300542211418871,-0.437615663226944
2001,152478000,"avoca",-0.837860254430641,-0.300542211418871
2002,146243700,"avoca",-1.00909700838457,-0.837860254430641
2003,154038600,"avoca",-0.794995445515366,-1.00909700838457
2004,159352200,"avoca",-0.649047445610071,-0.794995445515366
2005,164157300,"avoca",-0.517066352877286,-0.649047445610071
2006,150598800,"avoca",-0.889476010494708,-0.517066352877286
2007,179893800,"avoca",-0.0848338362200908,-0.889476010494708
2008,135667800,"avoca",-1.29958395738306,-0.0848338362200908
2009,160256700,"avoca",-0.624203654975786,-1.29958395738306
2010,268953300,"avoca",2.3613525341438,-0.624203654975786
2011,227831400,"avoca",1.23186234720735,2.3613525341438
2012,148913100,"avoca",-0.935776925776317,1.23186234720735
2013,184648500,"avoca",0.0457629258902873,-0.935776925776317
2014,180681300,"avoca",-0.0632036702449666,0.0457629258902873
2015,163997100,"avoca",-0.521466546641368,-0.0632036702449666
2016,217949400,"avoca",0.96043466445665,-0.521466546641368
2017,209274300,"avoca",0.722156756074683,0.96043466445665
2018,163576800,"avoca",-0.533010875224663,0.722156756074683
2019,168213600,"avoca",-0.405652457963132,-0.533010875224663
2020,171963900,"avoca",-0.302643427542169,-0.405652457963132
2021,178666200,"avoca",-0.118552174951599,-0.302643427542169
2022,287730900,"avoca",2.87711457174951,-0.118552174951599
2023,222878700,"avoca",1.09582714336608,2.87711457174951
2024,183261600,"avoca",0.00766911358438294,1.09582714336608
1987,98701200,"border rivers",-0.74536458038559,NA
1988,321005700,"border rivers",-0.0126412128665443,-0.74536458038559
1989,132964200,"border rivers",-0.632432540137619,-0.0126412128665443
1990,203472900,"border rivers",-0.40003341144976,-0.632432540137619
1991,135765900,"border rivers",-0.623198039446998,-0.40003341144976
1992,118789200,"border rivers",-0.679153833384415,-0.623198039446998
1993,100350900,"border rivers",-0.739927111781058,-0.679153833384415
1994,136764000,"border rivers",-0.61990826711616,-0.739927111781058
1995,282853800,"border rivers",-0.138391202836382,-0.61990826711616
1996,332234100,"border rivers",0.024367984247553,-0.138391202836382
1997,208086300,"border rivers",-0.384827484517501,0.024367984247553
1998,381069000,"border rivers",0.185329513953231,-0.384827484517501
1999,258102900,"border rivers",-0.219971030492265,0.185329513953231
2000,264103200,"border rivers",-0.200193832900113,-0.219971030492265
2001,245318400,"border rivers",-0.262109187353899,-0.200193832900113
2002,162554400,"border rivers",-0.534902211288846,-0.262109187353899
2003,396191700,"border rivers",0.235174459377099,-0.534902211288846
2004,431235000,"border rivers",0.350678395577131,0.235174459377099
2005,324476100,"border rivers",-0.00120265370720165,0.350678395577131
2006,167733000,"border rivers",-0.517833365489349,-0.00120265370720165
2007,229052700,"border rivers",-0.315721500550684,-0.517833365489349
2008,216316800,"border rivers",-0.357699470121186,-0.315721500550684
2009,246327300,"border rivers",-0.258783817847254,-0.357699470121186
2010,686861100,"border rivers",1.1932309161863,-0.258783817847254
2011,364881600,"border rivers",0.131975280281048,1.1932309161863
2012,314006400,"border rivers",-0.0357111492208514,0.131975280281048
2013,313853400,"border rivers",-0.0362154425447851,-0.0357111492208514
2014,169306200,"border rivers",-0.512648043546784,-0.0362154425447851
2015,219145500,"border rivers",-0.348375976491048,-0.512648043546784
2016,326304000,"border rivers",0.00482216829814715,-0.348375976491048
2017,284160600,"border rivers",-0.134083944563725,0.00482216829814715
2018,141917400,"border rivers",-0.602922481393547,-0.134083944563725
2019,186447600,"border rivers",-0.456149392678309,-0.602922481393547
2020,220161600,"border rivers",-0.345026875533865,-0.456149392678309
2021,1661267700,"border rivers",4.40490897616611,-0.345026875533865
2022,1316558700,"border rivers",3.26873611734354,4.40490897616611
2023,328893300,"border rivers",0.0133565911978953,3.26873611734354
2024,416723400,"border rivers",0.302847657017681,0.0133565911978953
1987,88704000,"broken",0.325447452220987,NA
1988,104761800,"broken",0.806249480474013,0.325447452220987
1989,131098500,"broken",1.59482193607139,0.806249480474013
1990,142539300,"broken",1.93738192840142,1.59482193607139
1991,100582200,"broken",0.681104058480568,1.93738192840142
1992,99037800,"broken",0.634861693247848,0.681104058480568
1993,123483600,"broken",1.36681689397695,0.634861693247848
1994,84546000,"broken",0.200948776594433,1.36681689397695
1995,121889700,"broken",1.31909240165344,0.200948776594433
1996,111016800,"broken",0.993536449219588,1.31909240165344
1997,72435600,"broken",-0.161660353109229,0.993536449219588
1998,69771600,"broken",-0.241425738359142,-0.161660353109229
1999,84822300,"broken",0.209221740537582,-0.241425738359142
2000,92319300,"broken",0.4336966253794,0.209221740537582
2001,79088400,"broken",0.0375375278932582,0.4336966253794
2002,72468900,"broken",-0.160663285793605,0.0375375278932582
