"year","inundated_area","wetland_name","wetland_surface_water","wetland_surface_water_lagged"
1987,119150100,"lake hindmarsh",0.717379583266612,NA
1988,133906500,"lake hindmarsh",0.971616610723761,0.717379583266612
1989,132865200,"lake hindmarsh",0.953676122753041,0.971616610723761
1990,131796000,"lake hindmarsh",0.935254947550608,0.953676122753041
1991,127735200,"lake hindmarsh",0.865291696276721,0.935254947550608
1992,136536300,"lake hindmarsh",1.01692525882267,0.865291696276721
1993,136895400,"lake hindmarsh",1.02311216867602,1.01692525882267
1994,135398700,"lake hindmarsh",0.997325624600557,1.02311216867602
1995,132921000,"lake hindmarsh",0.954637497216468,0.997325624600557
1996,135851400,"lake hindmarsh",1.0051251625861,0.954637497216468
1997,134396100,"lake hindmarsh",0.980051896338343,1.0051251625861
1998,116795700,"lake hindmarsh",0.6768157833259,0.980051896338343
1999,119558700,"lake hindmarsh",0.724419325305252,0.6768157833259
2000,80290800,"lake hindmarsh",0.0478753057283507,0.724419325305252
2001,16200,"lake hindmarsh",-1.335170402189,0.0478753057283507
2002,18900,"lake hindmarsh",-1.33512388406981,-1.335170402189
2003,1338300,"lake hindmarsh",-1.31239202982169,-1.33512388406981
2004,100800,"lake hindmarsh",-1.33371283445413,-1.31239202982169
2005,394200,"lake hindmarsh",-1.32865786550128,-1.33371283445413
2006,0,"lake hindmarsh",-1.33544951090419,-1.32865786550128
2007,530100,"lake hindmarsh",-1.32631645350164,-1.33544951090419
2008,0,"lake hindmarsh",-1.33544951090419,-1.32631645350164
2009,712800,"lake hindmarsh",-1.3231687274359,-1.33544951090419
2010,113977800,"lake hindmarsh",0.628266372922855,-1.3231687274359
2011,129311100,"lake hindmarsh",0.892442771848657,0.628266372922855
2012,122018400,"lake hindmarsh",0.766797331894688,0.892442771848657
2013,108712800,"lake hindmarsh",0.537556040486631,0.766797331894688
2014,19669500,"lake hindmarsh",-0.996565012546301,0.537556040486631
2015,1410300,"lake hindmarsh",-1.31115154664307,-0.996565012546301
2016,115145100,"lake hindmarsh",0.648377706456151,-1.31115154664307
2017,97632900,"lake hindmarsh",0.346661185337512,0.648377706456151
2018,20041200,"lake hindmarsh",-0.990161018136701,0.346661185337512
2019,42981300,"lake hindmarsh",-0.594927571390222,-0.990161018136701
2020,11110500,"lake hindmarsh",-1.14402745040416,-0.594927571390222
2021,30464100,"lake hindmarsh",-0.810585571992444,-1.14402745040416
2022,123927300,"lake hindmarsh",0.799685642167719,-0.810585571992444
2023,121806000,"lake hindmarsh",0.763137906517773,0.799685642167719
2024,110040300,"lake hindmarsh",0.560427449092346,0.763137906517773
1987,2677500,"macquarie marshes",-0.429445782219816,NA
1988,7559100,"macquarie marshes",-0.395186140784447,-0.429445782219816
1989,205097400,"macquarie marshes",0.99116082081676,-0.395186140784447
1990,299404800,"macquarie marshes",1.65302121673244,0.99116082081676
1991,7912800,"macquarie marshes",-0.39270383269372,1.65302121673244
1992,2301300,"macquarie marshes",-0.432085997949902,-0.39270383269372
1993,6690600,"macquarie marshes",-0.401281375663712,-0.432085997949902
1994,3440700,"macquarie marshes",-0.424089555092753,-0.401281375663712
