"X","Wetland","ValleyName"
1,"banrock station wetland complex","LOWER MURRAY"
2,"barmah-millewa","CENTRAL MURRAY"
3,"booligal wetlands","LACHLAN"
6,"coorong and murray mouth","LOWER MURRAY"
8,"corop wetlands complex","GOULBURN"
9,"currawinya lakes","PAROO"
10,"cuttaburra channels","PAROO"
11,"darling anabranch","DARLING"
12,"great cumbung swamp","LACHLAN"
13,"gunbower-koondrook-perricoota","CENTRAL MURRAY"
14,"gwydir wetlands","GWYDIR"
15,"hattah lakes","LOWER MURRAY"
16,"kerang wetlands","LODDON"
18,"lake albacutya","WIMMERA"
19,"lake brewster","LACHLAN"
21,"lake cowal and nerang cowal","LACHLAN"
22,"lake hindmarsh","WIMMERA"
23,"lake mokoan","BROKEN"
24,"lindsay-walpolla-chowilla","LOWER MURRAY"
25,"lowbidgee floodplain","MURRUMBIDGEE"
26,"lower lakes","LOWER MURRAY"
27,"macquarie marshes","MACQUARIE"
28,"menindee lakes","DARLING"
29,"mulwala","CENTRAL MURRAY"
30,"murray river and euston lakes","CENTRAL MURRAY"
31,"narran lakes","CONDAMINE"
32,"noora evaporation basin","LOWER MURRAY"
33,"paroo overflow lakes complex","PAROO"
34,"pyap lagoon","LOWER MURRAY"
36,"talywalka system","DARLING"
37,"upper darling river","WARREGO"
39,"yantabulla","PAROO"
40,"fivebough","MURRUMBIDGEE"
41,"coolmunda dam","BORDER RIVERS"
41," kiewa river"," KIEWA"
42," burrendong dam"," MACQUARIE"
43," lake buloke"," WIMMERA"
